"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Frequência,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link","Total de contatos por mensagem","Novos contatos de mensagem",Término,"Configuração de atribuição","Custo por compra (BRL)","Índice de resultados","ROAS de resultados","Indicador de valor do resultado","Valor dos resultados",Visualizações,"CPC (custo por clique no link) (BRL)","Cliques únicos (todos)","Custo por clique único (todos) (BRL)","CTR único (todos)","CTR único (taxa de cliques no link)",Leads,"ROAS (retorno sobre o investimento em publicidade) da doação","ROAS (retorno sobre o investimento em publicidade) das compras","Visualizações da página de destino","Valor de conversão de leads","Custo por visualização da página de destino (BRL)","Custo por lead (BRL)"
2026-01-01,2026-04-09,"13/09 [IN][J][CATALOGO][WHATSAPP] - Imoveis 600K-",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"13/09 [IN][J][LEAD][FORM][LANÇAMENTO] - San Vitale",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"13/09 [IN][J][LEAD][FORM][LANÇAMENTO] - Singular Home Design",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"13/09 [IN][J][LEAD][FORM][LANÇAMENTO] - View Residence",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"13/09 [IN][J][LEAD][FORM][LANÇAMENTO] - Authoria Reserva Jequitibá",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"13/09 [IN][J][CATALOGO][WHATSAPP] - Todos Imóveis",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"16/09 [IN][J][CATALOGO][WHATSAPP] - Locação Imoveis",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"16/09 [IN][J][CATALOGO][WHATSAPP] - Imoveis Comerciais",inactive,,,,50,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][SITE][LANÇAMENTO] - San Vitale",inactive,,,,10.2,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][SITE][LANÇAMENTO] - View Residence",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM WHATSAPP][LANÇAMENTO] - Authoria Reserva Jequitibá",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM WHATSAPP][LANÇAMENTO] - Singular Home Design",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM WHATSAPP][LANÇAMENTO] - Italo Residencial",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM WHATSAPP][LANÇAMENTO] - Gran Reserva",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][SITE][LANÇAMENTO] - Authoria Reserva Jequitibá",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][SITE][LANÇAMENTO] -  Singular Home Design",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"[IN][J][LEAD][FORM][LANÇAMENTO] - Italo Residencial",inactive,,,,30,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"19/11 [IN] [A] [LOCAÇÃO] [MENSAGEM] - Casas em condomínio",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"17/12 [IN] [A] [LOCAÇÃO] [MENSAGEM] - Captação de imóveis",inactive,,,,20,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"17/12 [IN] [A] [LOCAÇÃO] [MENSAGEM] - Estudantes",inactive,,,,20,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG] [MOT3] [ABO][WHATSAPP] - GERAL",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG][MOT1] [LANÇAMENTO] [Cadastro Nativo] -  Ítalo Residencial",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG][MOT1] [LANÇAMENTO] [Cadastro Nativo] - Resort Residence",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG][MOT1] [LANÇAMENTO] [Cadastro Nativo] - L’essence São Dimas",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG] [MOT3] [VENDA][WHATSAPP] - Terceiros Venda",inactive,,,,60,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG][MOT1] [LANÇAMENTO] [Cadastro Nativo] - Novam",inactive,,,,40,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG][MOT1] [LANÇAMENTO] [Cadastro Nativo] -  View Residence",inactive,,,,25,Diário,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG] [V2] [MOT3] [ABO][WHATSAPP] - GERAL",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
2026-01-01,2026-04-09,"🔴[V4OMG] [V2] [MOT3] [ABO][WHATSAPP] - Cod:[33906] [BRASIL]",inactive,,,,"Usando o orçamento do conjunto de anúncios",0,0,0,0,0,0,,,,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,,,,,0,,0,0,0,0,,,,,,,
